game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
754,0,0,true,,,utility,utility,3,75,12393235042,12393192655,7,0,BLUE,false,0,4,3,2,ARCHER:8;ASSASSIN:3;SPIDER:2,ASSASSIN:5;SCORPION_RIDER:5
755,0,0,true,,,utility,utility,3,75,12393242961,12393201660,21,0,,false,3,15,3,2,GOLEM:3;MAGE:6;SPIDER:1,GOBLIN:10;SPIDER:15
756,0,0,true,,,utility,utility,3,75,12393242961,12393201660,13,0,BLUE,false,0,16,3,2,GOLEM:3;MAGE:6;SPIDER:1,GOBLIN:10;SPIDER:15
757,0,0,true,,,utility,cascade,3,75,91401098042,91401145751,5,0,GREEN,false,17,0,2,2,ARCHER:7;GOBLIN:11,GOBLIN:8;MAGE:7
758,0,0,true,,,cascade,utility,3,75,91401098042,91401145751,6,0,GREEN,false,15,0,2,2,ARCHER:7;GOBLIN:11,GOBLIN:8;MAGE:7
759,0,0,true,,,utility,cascade,3,75,91401105961,91401153668,10,0,GREEN,false,9,0,3,3,ARCHER:7;GARGOYLE:4;GOBLIN:1,ASSASSIN:1;GOLEM:2;SCORPION_RIDER:6
760,0,0,true,,,cascade,utility,3,75,91401105961,91401153668,14,0,GREEN,false,6,0,3,3,ARCHER:7;GARGOYLE:4;GOBLIN:1,ASSASSIN:1;GOLEM:2;SCORPION_RIDER:6
761,0,0,true,,,utility,utility,3,75,91409017042,91408971391,17,0,,false,10,8,3,3,ARCHER:8;ASSASSIN:3;SPIDER:2,ASSASSIN:3;GOBLIN:1;MAGE:7
762,0,0,true,,,utility,utility,3,75,91409017042,91408971391,10,0,GREEN,false,7,0,3,3,ARCHER:8;ASSASSIN:3;SPIDER:2,ASSASSIN:3;GOBLIN:1;MAGE:7
763,0,0,true,,,utility,utility,3,75,91409024961,91409078636,4,0,GREEN,false,15,0,2,3,ARCHER:6;SPIDER:13,ASSASSIN:4;SCORPION_RIDER:1;SPIDER:13
764,0,0,true,,,utility,utility,3,75,91409024961,91409078636,4,0,GREEN,false,15,0,2,3,ARCHER:6;SPIDER:13,ASSASSIN:4;SCORPION_RIDER:1;SPIDER:13
765,0,0,true,,,utility,utility,3,75,91416936042,91416912071,12,0,,false,12,12,4,3,MAGE:1;SCORPION_RIDER:7;SPIDER:4,ARCHER:9;MAGE:3
766,0,0,true,,,utility,utility,3,75,91416936042,91416912071,12,0,,false,12,12,4,3,MAGE:1;SCORPION_RIDER:7;SPIDER:4,ARCHER:9;MAGE:3
767,0,0,true,,,utility,utility,3,75,91416943961,91416888308,15,0,,false,13,11,3,3,ARCHER:8;MAGE:3;SPIDER:2,ARCHER:8;GARGOYLE:3;GOBLIN:2
768,0,0,true,,,utility,utility,3,75,91416943961,91416888308,15,0,,false,13,11,3,3,ARCHER:8;MAGE:3;SPIDER:2,ARCHER:8;GARGOYLE:3;GOBLIN:2
769,0,0,true,,,utility,utility,3,75,91424855042,91424836271,18,0,,false,10,18,3,2,ARCHER:8;GOBLIN:2;MAGE:3,ARCHER:7;GOBLIN:11
770,0,0,true,,,utility,utility,3,75,91424855042,91424836271,24,0,,false,8,18,3,2,ARCHER:8;GOBLIN:2;MAGE:3,ARCHER:7;GOBLIN:11
771,0,0,true,,,utility,utility,3,75,91424862961,91424844892,15,0,BLUE,false,0,11,2,3,SCORPION_RIDER:5;SPIDER:11,GOBLIN:10;SPIDER:15
772,0,0,true,,,utility,utility,3,75,91424862961,91424844892,23,0,,false,10,11,2,3,SCORPION_RIDER:5;SPIDER:11,GOBLIN:10;SPIDER:15
773,0,0,true,,,utility,utility,3,75,91432774042,91432793911,19,0,BLUE,false,0,5,2,3,ARCHER:5;SPIDER:15,GARGOYLE:6;SCORPION_RIDER:4
774,0,0,true,,,utility,utility,3,75,91432774042,91432793911,17,0,BLUE,false,0,5,2,3,ARCHER:5;SPIDER:15,GARGOYLE:6;SCORPION_RIDER:4
775,0,0,true,,,utility,utility,3,75,91432781961,91432769060,11,0,BLUE,false,0,18,3,2,GARGOYLE:3;GOBLIN:1;MAGE:7,ARCHER:7;SPIDER:11
776,0,0,true,,,utility,utility,3,75,91432781961,91432769060,16,0,,false,7,18,3,2,GARGOYLE:3;GOBLIN:1;MAGE:7,ARCHER:7;SPIDER:11
777,0,0,true,,,utility,utility,3,75,91440693042,91440734623,11,0,BLUE,false,0,4,3,2,ARCHER:12;GOBLIN:1,ARCHER:7;SCORPION_RIDER:4
778,0,0,true,,,utility,utility,3,75,91440693042,91440734623,11,0,BLUE,false,0,4,3,2,ARCHER:12;GOBLIN:1,ARCHER:7;SCORPION_RIDER:4
779,0,0,true,,,utility,utility,3,75,91440700961,91440709772,8,0,GREEN,false,13,0,3,3,GOBLIN:10;SCORPION_RIDER:5;SPIDER:1,ASSASSIN:8;GOBLIN:1;MAGE:2
